NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PRC_NUTS_AV
CZ,Czechia,CZ03,Jihozápad,NUTS2,R2000,0,0,739.16,0,1761.8,0
CZ,Czechia,CZ04,Severozápad,NUTS2,R2000,4.13,260.66,316.62,"1,306",864.9,0.476
CZ,Czechia,CZ05,Severovýchod,NUTS2,R2000,15.74,1000.69,569.83,2.76,1244.1,"1,264"
CZ,Czechia,CZ06,Jihovýchod,NUTS2,R2000,4.67,270.2,725.49,0.644,1399.1,0.336
CZ,Czechia,CZ07,Strední Morava,NUTS2,R2000,13.76,875,397.31,"3,464",923,"1,492"
CZ,Czechia,CZ08,Moravskoslezsko,NUTS2,R2000,6.54,414.97,212.85,"3,072",542.7,"1,204"
DE,Germany (until 1990 former territory of the FRG),DE,Germany (until 1990 former territory of the FRG),NUTS0,R2000,401.2,30108.62,16636.98,"2,412",35737.6,"1,122"
DE,Germany (until 1990 former territory of the FRG),DE1,Baden-Württemberg,NUTS1,R2000,19.98,1529.26,1412.48,"1,414",3575.1,0.56
DE,Germany (until 1990 former territory of the FRG),DE11,Stuttgart,NUTS2,R2000,19.98,1529.26,,,1055.7,
DE,Germany (until 1990 former territory of the FRG),DE12,Karlsruhe,NUTS2,R2000,,,,,691.9,
DE,Germany (until 1990 former territory of the FRG),DE13,Freiburg,NUTS2,R2000,,,,,935.7,
DE,Germany (until 1990 former territory of the FRG),DE14,Tübingen,NUTS2,R2000,,,,,891.8,
DE,Germany (until 1990 former territory of the FRG),DE2,Bayern,NUTS1,R2000,66.82,5651.84,3107.04,2.15,7055,0.948
DE,Germany (until 1990 former territory of the FRG),DE21,Oberbayern,NUTS2,R2000,66.82,5651.84,,,1753.1,
DE,Germany (until 1990 former territory of the FRG),DE22,Niederbayern,NUTS2,R2000,,,,,1032.9,
DE,Germany (until 1990 former territory of the FRG),DE23,Oberpfalz,NUTS2,R2000,,,,,969,
DE,Germany (until 1990 former territory of the FRG),DE24,Oberfranken,NUTS2,R2000,,,,,723.1,
DE,Germany (until 1990 former territory of the FRG),DE25,Mittelfranken,NUTS2,R2000,,,,,724.5,
DE,Germany (until 1990 former territory of the FRG),DE26,Unterfranken,NUTS2,R2000,,,,,853.1,
DE,Germany (until 1990 former territory of the FRG),DE27,Schwaben,NUTS2,R2000,,,,,999.3,
DE,Germany (until 1990 former territory of the FRG),DE3,Berlin,NUTS1,R2000,0,,1.84,0,89.2,0
DE,Germany (until 1990 former territory of the FRG),DE30,Berlin,NUTS2,R2000,,,,,89.2,
