NUTS2_CODE,NUTS2_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PCR_UAA_AV,NUTS_AREA,PCR_NUTS_AV
FRD2,NUTS2,V2600,0.0065,0.0201125,805.5025,0.00080695,1231.74,0.000527709
FRE1,NUTS2,V2600,0.0389375,0.15000625,829.13,0.004696188,1241.41,0.003136554
FRE2,NUTS2,V2600,0.0389375,0.15000625,1352.9025,0.002878071,1939.95,0.002007139
FRF1,NUTS2,V2600,0.196916667,0.856533333,343.25,0.057368293,828.02,0.023781632
FRF2,NUTS2,V2600,0.196916667,0.856533333,1546.6725,0.012731633,2560.58,0.007690315
FRF3,NUTS2,V2600,0.196916667,0.856533333,1168.3525,0.016854217,2354.74,0.008362565
FRG0,NUTS2,V2600,0.30225,1.3501,2280.5775,0.013253222,3208.18,0.009421229
FRH0,NUTS2,V2600,0.005,0.0401,1779.7475,0.000280939,2720.79,0.00018377
FRI1,NUTS2,V2600,0.507166667,2.5163,1592.24,0.031852401,4130.84,0.012277567
FRI2,NUTS2,V2600,0.507166667,2.5163,887.255,0.05716132,1694.23,0.029934936
FRI3,NUTS2,V2600,0.507166667,2.5163,1766.435,0.028711312,2580.95,0.019650387
FRJ1,NUTS2,V2600,0.475625,2.203575,1012.5075,0.046974961,2737.58,0.017373921
FRJ2,NUTS2,V2600,0.475625,2.203575,2497.3175,0.019045436,4534.79,0.010488358
FRK1,NUTS2,V2600,0.1245,0.590283333,1491.04,0.008349877,2601.29,0.004786087
FRK2,NUTS2,V2600,0.1245,0.590283333,1583.7075,0.0078613,4369.82,0.002849088
FRL0,NUTS2,V2600,0.288,0.948475,794.25,0.036260623,3139.96,0.009172091
FRM0,NUTS2,V2600,0,0,302.1475,0,867.98,0
FRY1,NUTS2,V2600,0,0,49.2075,0,132.86,0
FRY2,NUTS2,V2600,0,0,31.24,0,112.8,0
FRY3,NUTS2,V2600,0,0,32.2275,0,8353.39,0
FRY4,NUTS2,V2600,0.001,0.002,48.285,0.002071037,250.37,0.000399409
FRY5,NUTS2,V2600,0,0,20.0075,0,37.4,0
HU11,NUTS2,V2600,0.004,0.0136,34.332,0.011650938,5.25,0.076190476
HU12,NUTS2,V2600,0.007,0.0148,311.614,0.002246369,63.93,0.010949476
HU21,NUTS2,V2600,0.0066,0.0238,578.412,0.001141055,1108.5,0.000595399
HU22,NUTS2,V2600,0.001,0.0022,565.332,0.000176887,1132.8,8.82768E-05
HU23,NUTS2,V2600,0.0262,0.0516,745.852,0.003512761,1419.7,0.00184546
HU31,NUTS2,V2600,0.007,0.0106,587.718,0.001191047,1342.8,0.000521299
HU32,NUTS2,V2600,0.138,0.4394,1174.514,0.011749541,1772.3,0.007786492
HU33,NUTS2,V2600,1.2292,5.395,1212.722,0.101358762,1833.5,0.067041178
ITC1,NUTS2,V2600,0.2936,N/A,890.22,0.032980612,2538.7,0.011564974
ITC3,NUTS2,V2600,0.03,N/A,57.746,0.05195165,541.6,0.005539143
ITC4,NUTS2,V2600,0.0544,N/A,1056.448,0.005149331,2386.4,0.002279584
ITF1,NUTS2,V2600,0.014,N/A,486.624,0.002876965,1083.3,0.001292347
ITF2,NUTS2,V2600,0.033,N/A,193.942,0.017015396,446.1,0.007397445
ITF3,NUTS2,V2600,0.015,N/A,568.682,0.002637678,1367,0.001097293
ITF4,NUTS2,V2600,1.7,N/A,1551.75,0.10955373,1954.1,0.086996571
ITF5,NUTS2,V2600,0.0708,N/A,450.412,0.015718942,1007.3,0.007028691
ITF6,NUTS2,V2600,0.0164,N/A,523.596,0.003132186,1522.2,0.001077388
ITG1,NUTS2,V2600,0.0302,N/A,1483.86,0.002035232,2583.3,0.001169047
ITG2,NUTS2,V2600,0.151,N/A,1118.888,0.013495542,2410,0.00626556
ITH1,NUTS2,V2600,0.0274,N/A,236.326,0.011594154,739.8,0.003703704
ITH2,NUTS2,V2600,0.0258,N/A,136.142,0.018950801,620.7,0.004156597
ITH3,NUTS2,V2600,1.8844,N/A,794.912,0.237057687,1840.7,0.102374097
ITH4,NUTS2,V2600,0.153,N/A,228.508,0.06695608,786.2,0.019460697
ITH5,NUTS2,V2600,0.752,N/A,1044.96,0.071964477,2245.3,0.033492184
ITI1,NUTS2,V2600,0.164,N/A,673.39,0.024354386,2298.8,0.007134157
ITI3,NUTS2,V2600,0.034,N/A,407.384,0.008345934,940.1,0.003616637
ITI4,NUTS2,V2600,0.4702,N/A,743.904,0.06320708,1723.2,0.027286444
