NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PCR_UAA_AV,NUTS_AREA,PCR_NUTS_AV
BG,Bulgaria,BG34,Yugoiztochen,NUTS2,F2000,0,0,0,,1966.4,0
BG,Bulgaria,BG41,Yugozapaden,NUTS2,F2000,0,0,0,,2004,0
BG,Bulgaria,BG42,Yuzhen tsentralen,NUTS2,F2000,0,0,0,,2230.7,0
CY,Cyprus,CY,Cyprus,NUTS0,F2000,0.97,10.24,126.15,2.479,925.1,0.109787
CZ,Czechia,CZ,Czechia,NUTS0,F2000,0,0,3524.38,0,7886.8,0
CZ,Czechia,CZ01,Praha,NUTS2,F2000,0,0,0,,49.6,0
CZ,Czechia,CZ02,Strední Cechy,NUTS2,F2000,0,0,0,,1101.6,0
CZ,Czechia,CZ03,Jihozápad,NUTS2,F2000,0,0,0,,1761.8,0
CZ,Czechia,CZ04,Severozápad,NUTS2,F2000,0,0,0,,864.9,0
CZ,Czechia,CZ05,Severovýchod,NUTS2,F2000,0,0,0,,1244.1,0
CZ,Czechia,CZ06,Jihovýchod,NUTS2,F2000,0,0,0,,1399.1,0
CZ,Czechia,CZ07,Strední Morava,NUTS2,F2000,0,0,0,,923,0
CZ,Czechia,CZ08,Moravskoslezsko,NUTS2,F2000,0,0,0,,542.7,0
DE,Germany (until 1990 former territory of the FRG),DE,Germany (until 1990 former territory of the FRG),NUTS0,F2000,0,0,16636.98,0,35737.6,0
DE,Germany (until 1990 former territory of the FRG),DE11,Stuttgart,NUTS2,F2000,0,0,0,,1055.7,0
DE,Germany (until 1990 former territory of the FRG),DE12,Karlsruhe,NUTS2,F2000,0,0,0,,691.9,0
DE,Germany (until 1990 former territory of the FRG),DE13,Freiburg,NUTS2,F2000,0,0,0,,935.7,0
DE,Germany (until 1990 former territory of the FRG),DE14,Tübingen,NUTS2,F2000,0,0,0,,891.8,0
DE,Germany (until 1990 former territory of the FRG),DE21,Oberbayern,NUTS2,F2000,0,0,0,,1753.1,0
DE,Germany (until 1990 former territory of the FRG),DE22,Niederbayern,NUTS2,F2000,0,0,0,,1032.9,0
DE,Germany (until 1990 former territory of the FRG),DE23,Oberpfalz,NUTS2,F2000,0,0,0,,969,0
DE,Germany (until 1990 former territory of the FRG),DE24,Oberfranken,NUTS2,F2000,0,0,0,,723.1,0
DE,Germany (until 1990 former territory of the FRG),DE25,Mittelfranken,NUTS2,F2000,0,0,0,,724.5,0
DE,Germany (until 1990 former territory of the FRG),DE26,Unterfranken,NUTS2,F2000,0,0,0,,853.1,0
DE,Germany (until 1990 former territory of the FRG),DE27,Schwaben,NUTS2,F2000,0,0,0,,999.3,0
DE,Germany (until 1990 former territory of the FRG),DE30,Berlin,NUTS2,F2000,0,0,0,,89.2,0
DE,Germany (until 1990 former territory of the FRG),DE40,Brandenburg,NUTS2,F2000,0,0,0,,2965.4,0
DE,Germany (until 1990 former territory of the FRG),DE50,Bremen,NUTS2,F2000,0,0,0,,41.9,0
DE,Germany (until 1990 former territory of the FRG),DE60,Hamburg,NUTS2,F2000,0,0,0,,75.5,0
