NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
RO11,F3000,"0.31","3.33","30.16"
RO12,F3000,"0.19","2.06","18.63"
RO21,F3000,"0.04","0.39","3.55"
RO22,F3000,"0.16","1.76","15.96"
RO31,F3000,"0.14","1.47","13.3"
RO32,F3000,"0","0","0"
RO41,F3000,"0.07","0.78","7.1"
RO42,F3000,"0.11","1.18","10.64"
SE,F3000,"0.46","0.86","3005"
SE11,F3000,"0.01","0.13","12.84"
SE12,F3000,"0.04","0.65","64.21"
SE21,F3000,"0.08","1.16","115.58"
SE22,F3000,"0.14","2.07","205.47"
SE23,F3000,"0.06","0.91","89.89"
SE31,F3000,"0.04","0.65","64.21"
SE32,F3000,"0.07","1.04","102.73"
SE33,F3000,"0.12","1.68","166.94"
SI,F3000,"0.29","1.26","480.54"
SI01,F3000,"0","0","0"
SI02,F3000,"0","0","0"
SI03,F3000,"0.08","1.11","8.9"
SI04,F3000,"0.02","0.35","2.81"
SK,F3000,"0.38","0.44","1902.42"
SK01,F3000,"0.05","0.45","21.65"
SK02,F3000,"0.16","1.4","67.65"
SK03,F3000,"0.04","0.34","16.24"
SK04,F3000,"0.1","0.9","43.3"
